"Site","Treatment","Seed_Arrival","PlotID","GNDVI_apr_21","LCI_apr_21","NDRE_apr_21","NDVI_apr_21","OSAVI_apr_21","GNDVI_oct_21","LCI_oct_21","NDRE_oct_21","NDVI_oct_21","OSAVI_oct_21"
1,"BC","SA3",27,0.402046970318552,0.173077825121358,0.137824586314122,0.430497324396,0.119853400537658,0.477938724957642,0.11295664764744,0.0835360392699949,0.473539679911305,0.279084360157741
1,"C","SA3",28,0.435581150614821,0.154859433190619,0.124164664518857,0.403109409188737,0.205602690177187,0.495902622983736,0.135511732405978,0.105319460815569,0.441270717312428,0.239831587564286
1,"C","SA4",29,0.387210838924309,0.138636515433934,0.118259120245922,0.311035819404182,0.180229252161527,0.478967294941991,0.140482897317495,0.111697491079658,0.409318829507667,0.209885810101754
1,"C","SA2",30,0.402364431042633,0.139256298491643,0.115900113121652,0.342200151282761,0.216666479796355,0.465895052319365,0.123879722382211,0.0972454486009317,0.407907953671648,0.219225641261702
1,"BC","SA4",31,0.388866062081164,0.138475130171591,0.118971843988501,0.303908804583821,0.198137141183784,0.354874174897608,0.096192886416982,0.0807426368252166,0.296647394513922,0.115842350692129
1,"SM+BC","SA2",32,0.40338336103143,0.153600649250215,0.129638273576574,0.338248363239974,0.184464080156586,0.29948867853914,0.0766654898485075,0.0659009606915171,0.24026799712978,0.130450838743287
1,"SM","SA1",33,0.347833204898768,0.146016208781797,0.12354311502478,0.323769517320687,0.0961660237407302,0.336395237483084,0.0985368832787589,0.0846107956864735,0.260911903314618,0.150718753621416
1,"SM+BC","SA2",34,0.352538123830095,0.135872411223064,0.113391783083845,0.333680643688574,0.108184454790713,0.268871599571881,0.072559838960473,0.0641422875868862,0.202775372111397,0.10610636096848
1,"SM","SA3",35,0.357185957275892,0.143390002071861,0.116507529096729,0.374628295374062,0.0965696291009471,0.334384420099234,0.101420533222528,0.0867006377262302,0.268996944953813,0.148596570093923
1,"BC","SA1",36,0.358506966962685,0.163522708162244,0.131194836694272,0.412728009690771,0.0666761659337728,0.377171494649336,0.118035824426498,0.0980822537352217,0.323925128637067,0.127558105774065
1,"C","SA1",37,0.467944895549687,0.24192519575709,0.18758603024379,0.533954430917856,0.0804683612963751,0.479106330169049,0.148256096628935,0.120957747220663,0.377329764413983,0.16859055995338
1,"C","SA3",38,0.41867444320686,0.195579061529835,0.155507945362823,0.450159255150646,0.0816984529905035,0.47659897053064,0.156900216304902,0.129426154425328,0.370945551693826,0.175716224411789
1,"SM","SA2",39,0.409696642238298,0.200595236994424,0.158024424302986,0.469905122225757,0.0774686400927877,0.421337610986535,0.107246220184169,0.0873306470438056,0.34317832418866,0.193147029939738
1,"SM+BC","SA1",40,0.401515537764489,0.173737200202046,0.138414242151988,0.428802088875406,0.0827298613261936,0.375025788703666,0.0903123963181459,0.0749816111753965,0.299130359725132,0.15323885499823
1,"SM","SA2",41,0.414338833908213,0.152845008605018,0.125058488943171,0.374289192098393,0.137298044830408,0.395534084381332,0.0972159634643236,0.0812858525652092,0.297687728465981,0.159875413700617
